"35","Ma/4.5x100x75","1","2","4.50","100","75","1","0","0","0","0","../images/Madrier.png","0.034","0.034","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"36","Ma/4.5x125x50","1","2","4.50","125","50","1","0","0","0","0","../images/Madrier.png","0.028","0.028","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"37","Ma/4.5x125x63","1","2","4.50","125","63","1","0","0","0","0","../images/Madrier.png","0.035","0.035","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"38","Ma/4.5x125x75","1","2","4.50","125","75","1","0","0","0","0","../images/Madrier.png","0.042","0.042","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"39","Ma/4.5x150x50","1","2","4.50","150","50","1","0","0","0","0","../images/Madrier.png","0.034","0.034","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"40","Ma/4.5x150x63","1","2","4.50","150","63","1","0","0","0","0","../images/Madrier.png","0.043","0.043","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"41","Ma/4.5x150x75","1","2","4.50","150","75","1","0","0","0","0","../images/Madrier.png","0.051","0.051","Bois brut","Madrier","M3","1","320000.00","25","400000.00"
"42","Ma/4,5x175x50","1","2","4.50","175","50","1","0","0","0","0","../images/Madrier.png","0.039","0.039","Bois brut","Madrier","M3","4","335000.00","25","418750.00"
"43","Ma/4,5x175x63","1","2","4.50","175","63","1","0","0","0","0","../images/Madrier.png","0.050","0.050","Bois brut","Madrier","M3","4","335000.00","25","418750.00"
"44","Ma/4,5x175x75","1","2","4.50","175","75","1","0","0","0","0","../images/Madrier.png","0.059","0.059","Bois brut","Madrier","M3","4","335000.00","25","418750.00"
"45","Ma/4x100x50","1","2","4.00","100","50","1","0","0","0","0","../images/Madrier.png","0.020","0.020","Bois brut","Madrier","M3","1","320000.00","0","320000.00"
"46","Ma/4x100x63","1","2","4.00","100","63","1","0","0","0","0","../images/Madrier.png","0.025","0.025","Bois brut","Madrier","M3","1","320000.00","0","320000.00"
